"";"id";"kultur2";"NAME_HAUPT";"NAME_UNTER";"NAME_3";"DGM";"EL.closedH";"EL.diverge";"EL.heightA";"EL.heigh_1";"EL.exposit";"EL.reliefU";"EL.relie_1";"EL.relie_2";"EL.terrain";"EL.soilMoi";"EL.slope";"Gefährdun";"Gefährd_1";"Gefährd_2";"Bodenabtra";"EL.Elevati";"X";"Y"
"1";2763;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";49,37;NA;-1,2428;10,46978;1,47865;311,78992;6;23;NA;0,77819;8,45109;3,63167;3;5;4;13,42364;NA;421928,63;5917631,89
"2";2764;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";46,62;NA;4,84401;8,56671;5,5887;253,26833;6;22;NA;0,85299;12,08757;1,90604;3;2;3;6,93801;NA;423428,63;5917631,89
"3";2765;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";15,82;0,3907;7,60027;0,04211;0,05748;130,24997;5;2;2;0,97589;21,2688;0,26999;0;NA;1;2,29581;NA;424928,63;5917631,89
"4";2766;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";31,99;NA;-1,63101;3,97797;3,98903;255,62584;6;23;NA;0,80715;6,30339;4,4828;3;5;4;12,60542;NA;426428,63;5917631,89
"5";2767;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";42,15;NA;12,02066;7,86731;4,55478;88,19289;6;22;NA;0,85847;11,21444;0,1478;3;1;1;1,31545;NA;427928,63;5917631,89
"6";2768;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";44,57;NA;1,71964;2,08124;0,855;172,44821;6;3;3;0,88923;11,77419;1,45422;2;2;2;4,20959;NA;429428,63;5917631,89
"7";2769;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";54,22;NA;6,1418;16,15719;10,03609;113,82368;6;22;NA;0,79779;9,82335;1,09195;2;1;2;3,68879;NA;430928,63;5917631,89
"8";2774;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";57,27;NA;3,09784;4,51903;2,9131;18,15423;6;22;NA;0,89432;11,75204;0,45593;0;1;2;4,5487;NA;438428,63;5917631,89
"9";2775;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";54,75;NA;-1,82121;5,07415;0,44245;118,03204;6;22;NA;0,85668;10,29162;3,93747;NA;3;4;14,39397;NA;439928,63;5917631,89
"10";2776;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";52,04;0,71148;4,73153;4,18621;3,16361;49,30613;3;23;NA;0,78459;9,14465;3,62223;NA;NA;NA;NA;NA;441428,63;5917631,89
"11";2777;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";57,28;NA;-2,18842;13,17979;5,56848;78,53357;1;23;NA;0,76576;6,57894;3,37749;5;2;2;2,61816;NA;442928,63;5917631,89
"12";2778;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";45,55;NA;30,31887;8,4535;3,79812;187,54927;6;22;NA;0,81697;10,75359;1,4559;2;2;4;7,71705;NA;444428,63;5917631,89
"13";2779;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";27,29;NA;0,49432;0,19467;0,08201;71,46198;2;2;2;0,94829;15,30307;1,47833;0;2;2;4,05584;NA;445928,63;5917631,89
"14";2780;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";15,52;NA;-1,14241;1,66278;1,65284;94,92834;2;2;2;0,92027;14,66683;0,90663;5;1;1;0,79382;NA;447428,63;5917631,89
"15";2770;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";54,54;NA;-1,86529;7,44766;4,24109;165,98108;6;22;NA;0,84033;9,69959;2,19653;2;4;4;8,79126;NA;432428,63;5917631,89
"16";2771;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";53,8;NA;0,45998;0,66681;0,69775;225,46574;2;2;2;0,89374;12,2365;3,42492;3;3;4;8,62222;NA;433928,63;5917631,89
"17";2772;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";69,47;NA;1,44582;18,55745;18,05509;169,32025;6;23;NA;0,69703;5,97784;2,52375;3;3;4;8,45158;NA;435428,63;5917631,89
"18";2773;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";59,74;NA;-7,00033;2,38203;1,02602;202,60672;6;3;3;0,86103;10,11943;1,51977;3;2;2;3,56313;NA;436928,63;5917631,89
"19";2781;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Randowniederung";"Uckermark";10,63;NA;-1,87558;0,86755;0,72446;264,00363;2;2;2;0,93651;14,73472;0,50099;1;3;4;9,97219;NA;448928,63;5917631,89
"20";2606;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";66,44;NA;15,18634;4,09476;3,07129;278,79663;6;22;NA;0,83631;9,06195;1,26716;0;2;3;5,5877;NA;433928,63;5919131,89
"21";2607;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";83,14;NA;1,28116;13,61106;6,3115;247,05438;1;23;NA;0,75502;6,94861;3,05459;3;4;4;7,62995;NA;435428,63;5919131,89
"22";2610;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";57,13;NA;14,29411;8,26677;3,66053;58,67812;6;23;NA;0,84173;9,72141;0,59828;2;2;2;4,05673;NA;439928,63;5919131,89
"23";2611;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";58,66;NA;6,71545;11,21632;3,9851;319,72321;6;23;NA;0,72053;7,35388;4,58605;0;4;4;12,87709;NA;441428,63;5919131,89
"24";2612;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";50,93;NA;-36,96853;7,87394;5,10515;11,96596;6;23;NA;0,84801;9,6205;2,90858;3;NA;2;2,52855;NA;442928,63;5919131,89
"25";2613;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";40,36;0,53755;-5,20849;5,2653;3,26534;295,55283;3;22;NA;0,86067;9,96562;1,93046;3;3;3;7,05401;NA;444428,63;5919131,89
"26";2614;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";27,7;NA;1,76376;4,52669;3,4742;226,12444;6;22;NA;0,79717;9,38136;4,07069;3;4;4;12,10221;NA;445928,63;5919131,89
"27";2439;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";48,04;NA;3,63343;3,48531;3,40688;341,62561;6;23;NA;0,78136;6,16902;7,13893;NA;NA;NA;NA;NA;430928,63;5920631,89
"28";2440;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";48,81;3,42346;-19,22013;0,40211;0,17088;351,56827;5;2;2;0,93684;14,51932;1,24039;NA;NA;NA;NA;NA;432428,63;5920631,89
"29";2446;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";44,15;NA;-2,14134;6,3143;1,87004;61,53246;6;23;NA;0,76451;7,66456;6,47643;3;5;5;21,96175;NA;441428,63;5920631,89
"30";2447;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";38,12;NA;-6,21812;6,24873;5,78078;67,17406;6;22;NA;0,85792;9,91486;1,51734;3;2;2;4,10643;NA;442928,63;5920631,89
"31";2602;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";32,25;0,42031;0,32998;0,24802;0,04271;41,15897;5;2;2;0,94021;15,64529;0,40644;0;1;1;2,33057;NA;427928,63;5919131,89
"32";2603;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";50,97;NA;-0,26087;10,38197;4,00386;287,07776;6;23;NA;0,77466;6,72573;2,88813;3;4;4;9,0665;NA;429428,63;5919131,89
"33";2604;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";55,91;NA;20,99219;12,23073;9,60513;164,43689;6;22;NA;0,82088;10,57324;1,13076;1;2;3;6,99805;NA;430928,63;5919131,89
"34";2605;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";57,96;NA;0,89943;5,00851;1,15393;62,64926;6;22;NA;0,87095;11,00163;1,89367;NA;NA;NA;NA;NA;432428,63;5919131,89
"35";2615;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";14,07;NA;5,62428;1,68479;0,20355;356,81198;2;2;2;0,95152;17,55015;0,08492;1;2;2;4,96579;NA;447428,63;5919131,89
"36";2616;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Randowniederung";"Uckermark";9,37;NA;5,64407;0,50097;0,19469;61,35213;2;2;2;0,96256;18,05788;0,22583;5;2;3;5,14601;NA;448928,63;5919131,89
"37";1442;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";47,38;NA;2,27806;6,48767;3,17732;291,84628;6;23;NA;0,8055;8,03069;1,56633;2;2;2;4,63107;NA;420428,63;5929631,89
"38";1276;"GG alle 1500m";NA;NA;"Uckermark";60,01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;418928,63;5931131,89
"39";1277;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";50,64;NA;-0,78373;4,82537;0,13116;51,4115;6;21;NA;0,90036;13,36474;1,18753;2;2;3;6,35994;NA;420428,63;5931131,89
"40";1112;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";51,89;NA;5,97789;2,76069;2,53605;61,79985;6;21;NA;0,8856;13,36362;1,02521;NA;NA;NA;NA;NA;420428,63;5932631,89
"41";947;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";54,15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;420428,63;5934131,89
"42";1443;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";47,06;NA;3,91659;6,70331;4,14148;311,0741;6;22;NA;0,84275;9,30685;0,70658;3;1;1;1,25553;NA;421928,63;5929631,89
"43";1444;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";51,16;NA;-19,09562;10,77589;2,61127;182,77525;6;22;NA;0,84424;10,81054;0,68005;0;3;3;6,36644;NA;423428,63;5929631,89
"44";1278;"GG alle 1500m";NA;NA;"Uckermark";41,74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;421928,63;5931131,89
"45";1938;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";58,91;NA;-10,58317;9,32946;2,93122;142,60942;1;22;NA;0,79912;9,51217;1,37199;3;5;4;11,45361;NA;421928,63;5925131,89
"46";1939;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";50,2;NA;9,56604;4,93362;4,14399;70,31612;6;22;NA;0,84915;9,98246;0,56317;2;1;2;4,17484;NA;423428,63;5925131,89
"47";1940;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";27,36;NA;-1,92878;0,10273;0,07747;159,63246;2;2;2;0,95829;17,12629;1,43535;NA;NA;NA;NA;NA;424928,63;5925131,89
"48";1773;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";54,46;NA;1,07028;12,42427;1,93383;234,13383;6;22;NA;0,80407;10,35496;1,96632;NA;NA;NA;NA;NA;421928,63;5926631,89
"49";1774;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";50,82;NA;1,64268;16,75447;5,7368;44,44528;1;22;NA;0,71394;6,24378;3,84128;2;4;4;13,16809;NA;423428,63;5926631,89
"50";1775;"GG alle 1500m";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";"Uckermark";35,78;NA;7,88074;3,56918;2,40581;314,15027;6;22;NA;0,85427;9,89291;1,71406;NA;NA;NA;NA;NA;424928,63;5926631,89
