,KREIS,GEMEINDE,FUNDPLATZN,Fundart,FID,BUNDESLAND,QUELLE,FST,MATERIALUF,BEMERKUNG,kultur2,NAME_HAUPT,NAME_UNTER,X,Y,quelle_georef,QID_quelle_georef,katalognr,fst_id,fst_name,gemeinde,kreis,bundesland,land,perio.do,kultur,entdeckung,QID_entdeckung,publikation_arch,QID_publikation,fundstellenart,QID_fundstellenart,genauigkeit_m,methode,quellen_typ,methodenbeschr,wgs84_x,wgs84_y,dating_start,dating_certainty_start,dating_end,dating_certainty_end,dating_method,dating_certainty_range,dating_perio.do,dating_perio.do_match
1,Potsdam-Mittelmark,Alt Toeplitz,15210,EE,2001,Brandenburg,© Denkmaldaten / BLDAM 2021,Alt Toeplitz 6,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN,Brandenburg-Potsdamer Havelgebiet,"12,91","52,44",© Denkmaldaten / BLDAM 2021,Q897952,15210,,Alt Toeplitz 6,Alt Toeplitz,Potsdam-Mittelmark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,0,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","12,91","52,44",-5200,+/- 100 Jahre,-4900,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
2,Uckermark,Bagemuehl,16171,EE,2002,Brandenburg,© Denkmaldaten / BLDAM 2021,Bagemuehl 15,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Randowniederung,"14,21","53,36",© Denkmaldaten / BLDAM 2021,Q897952,16171,,Bagemuehl 15,Bagemuehl,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,21","53,36",-5199,+/- 100 Jahre,-4899,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
3,Uckermark,Bagemuehl,16173,EE,2003,Brandenburg,© Denkmaldaten / BLDAM 2021,Bagemuehl 17,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Randowniederung,"14,19","53,37",© Denkmaldaten / BLDAM 2021,Q897952,16173,,Bagemuehl 17,Bagemuehl,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,19","53,37",-5198,+/- 100 Jahre,-4898,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
4,Uckermark,Bagemuehl,16193,HH,2004,Brandenburg,© Denkmaldaten / BLDAM 2021,Bagemuehl 37,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"14,17","53,37",© Denkmaldaten / BLDAM 2021,Q897952,16193,,Bagemuehl 37,Bagemuehl,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,unbek.,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,17","53,37",-5197,+/- 100 Jahre,-4897,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
5,Uckermark,Battin,16251,EE,2005,Brandenburg,© Denkmaldaten / BLDAM 2021,Battin 17,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"14,14","53,34",© Denkmaldaten / BLDAM 2021,Q897952,16251,,Battin 17,Battin,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,14","53,34",-5196,+/- 100 Jahre,-4896,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
6,Uckermark,Berkholz zu Berkholz Meyenburg,151,EE,2006,Brandenburg,© Denkmaldaten / BLDAM 2021,Berkholz zu Berkholz,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"14,18","53,06",© Denkmaldaten / BLDAM 2021,Q897952,151,,Berkholz zu Berkholz,Berkholz zu Berkholz Meyenburg,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,18","53,06",-5195,+/- 100 Jahre,-4895,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
7,Uckermark,Biesenbrow,167,EE,2007,Brandenburg,© Denkmaldaten / BLDAM 2021,Biesenbrow 4,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Randowniederung,"13,99","53,11",© Denkmaldaten / BLDAM 2021,Q897952,167,,Biesenbrow 4,Biesenbrow,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,99","53,11",-5194,+/- 100 Jahre,-4894,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
8,Uckermark,Blankenburg,16331,EE,2008,Brandenburg,© Denkmaldaten / BLDAM 2021,Blankenburg 8,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",Rös. Beil/Axt,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"13,95","53,23",© Denkmaldaten / BLDAM 2021,Q897952,16331,,Blankenburg 8,Blankenburg,Uckermark,Brandenburg,Deutschland,,Rös. Beil/Axt,Einzelfund,,,,,,0,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,95","53,23",,,,,,,,
9,Uckermark,Blankenburg,16349,EE,2009,Brandenburg,© Denkmaldaten / BLDAM 2021,Blankenburg 26,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",Rös. Beil/Axt,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"13,94","53,21",© Denkmaldaten / BLDAM 2021,Q897952,16349,,Blankenburg 26,Blankenburg,Uckermark,Brandenburg,Deutschland,,Rös. Beil/Axt,Einzelfund,,,,,,0,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,94","53,21",,,,,,,,
10,Uckermark,Bruessow,16400,EE,2010,Brandenburg,© Denkmaldaten / BLDAM 2021,Bruessow 21,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"14,15","53,4",© Denkmaldaten / BLDAM 2021,Q897952,16400,,Bruessow 21,Bruessow,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,15","53,4",-5193,+/- 100 Jahre,-4893,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
