"";"AREA";"PERIMETER";"NR_HAUPT";"NAME_HAUPT";"NR_UNTER";"NAME_UNTER";"FLäCHE"
"1";2094780308,91218;274152,12389;74;"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";744;"Uckermärkisches Hügelland";209478,031
"2";97845267,25085;73930,54559;74;"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";743;"Woldegk-Feldberger Hügelland";9784,527
"3";118079660,15062;112560,93098;74;"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";745;"Randowniederung";11807,966
"4";150110377,95654;73809,94044;77;"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";772;"Parchim-Meyenburger Sandflächen";15011,038
"5";228843761,06248;77586,58118;74;"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";744;"Uckermärkisches Hügelland";22884,376
"6";57702653,81686;42758,24793;77;"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";771;"Ruhner Berge";5770,265
"7";1363570614,00314;221065,50571;77;"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";770;"Prignitz";136357,061
"8";145580720,09431;113497,1321;80;"ODERTAL";800;"Untere Odertalniederung";14558,072
"9";833038795,6635;208049,96502;75;"MECKLENBURGISCHE SEENPLATTE";755;"Neustrelitzer Kleinseenland";83303,88
"10";24339056,67686;37461,38382;75;"MECKLENBURGISCHE SEENPLATTE";754;"Mecklenburgisches Großseenland";2433,906
"11";356725457,30456;106914,61595;77;"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";775;"Dosseniederung";35672,546
"12";469312565,19573;132689,93962;77;"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";776;"Wittstock-Ruppiner Heide";46931,257
"13";113292169,02983;51273,70299;80;"ODERTAL";801;"Sandterrassen des Unteren Odertals";11329,217
"14";146168697,59798;48642,6088;75;"MECKLENBURGISCHE SEENPLATTE";756;"Schorfheide";14616,87
"15";353180796,09331;92333,79728;75;"MECKLENBURGISCHE SEENPLATTE";757;"Templiner PLatte";35318,08
"16";486233225,84155;92919,29609;77;"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";778;"Granseer Platte";48623,323
"17";126868255,0566;96213,80073;87;"ELBTALNIEDERUNG";876;"Mittelelbe Niederung";12686,826
"18";395662440,56521;115688,52437;77;"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";774;"Perleberger Heide";39566,244
"19";340562112,75246;77441,16653;77;"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";773;"Kyritzer PLatte";34056,211
"20";549636760,32783;161592,98178;78;"LUCHLAND";783;"Zehdenick-Spandauer Havelniederung";54963,676
"21";446720480,71995;93169,97531;77;"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";777;"Ruppiner Platte";44672,048
"22";95558064,66227;53262,0238;87;"ELBTALNIEDERUNG";875;"Märkische Elbtalniederung";9555,806
"23";245619521,4657;70856,73195;75;"MECKLENBURGISCHE SEENPLATTE";758;"Britzer Platte";24561,952
"24";31623604,40716;24516,9964;80;"ODERTAL";801;"Sandterrassen des unteren Odertals";3162,36
"25";1012564235,2576;247270,16131;78;"LUCHLAND";780;"Unteres,Oberes Rhinluch und Havelländisches Luch";101256,424
"26";256027232,48123;95406,85199;75;"MECKLENBURGISCHE SEENPLATTE";759;"Eberswalder Tal";25602,723
"27";819346306,30824;233166,36996;80;"ODERTAL";802;"Oderbruch";81934,631
"28";87514738,4292;38858,27844;77;"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";779;"Rüthnicker Heide";8751,474
"29";27691269,99524;21749,85767;80;"ODERTAL";803;"Neunhagener Sporn";2769,127
"30";1179178323,20685;205042,90652;79;"OSTBRANDENBURGISCHE PLATTE";791;"Barnimplatte";117917,832
