"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"DGM";"EL.closedH";"EL.diverge";"EL.heightA";"EL.heigh_1";"EL.exposit";"EL.reliefU";"EL.relie_1";"EL.relie_2";"EL.terrain";"EL.soilMoi";"EL.slope";"Gefährdun";"Gefährd_1";"Gefährd_2";"Bodenabtra";"Bodenabt_1";"EL.Elevati";"X";"Y"
"1";1;"Potsdam-Mittelmark";"Alt Toeplitz";"6";"6";"5812182.52885764";"357900.06311441";15210;"EE";"2001";"LBK Dechsel";15210;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Alt Toeplitz 6";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (357900.06311441 5812182.52885764)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";29,46;1,49963;9,58465;0,11903;0,15456;163,96909;5;2;2;0,95966;16,91862;0,21073;NA;NA;NA;NA;NA;NA;357900,06;5812182,53
"2";2;"Uckermark";"Bagemuehl";"15";"15";"5912778.88686268";"447127.01805692";16171;"EE";"2002";"LBK Dechsel";16171;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bagemuehl 15";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (447127.01805692 5912778.88686268)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";17,61;NA;-2,59326;3,18316;1,97337;215,93454;6;21;NA;0,92181;16,37085;0,41048;1;0;0;0,41724;0,37499;NA;447127,02;5912778,89
"3";3;"Uckermark";"Bagemuehl";"17";"17";"5913378.65566128";"446307.35237375";16173;"EE";"2003";"LBK Dechsel";16173;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bagemuehl 17";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (446307.35237375 5913378.65566128)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";19,17;NA;-9,95483;1,28107;1,24317;86,72395;2;2;2;0,9515;17,88398;0,32468;5;0;0;0,73451;0,48029;NA;446307,35;5913378,66
"4";4;"Uckermark";"Bagemuehl";"37";"37";"5913378.67027175";"444937.90023559";16193;"HH";"2004";"LBK Dechsel";16193;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bagemuehl 37";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (444937.90023559 5913378.67027175)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";37,16;NA;3,48211;10,4117;7,53447;279,05789;6;22;NA;0,80103;9,27434;1,62759;2;2;3;9,10456;6,91257;NA;444937,9;5913378,67
"5";5;"Uckermark";"Battin";"17";"17";"5910119.99670872";"442808.71726897";16251;"EE";"2005";"LBK Dechsel";16251;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Battin 17";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (442808.71726897 5910119.99670872)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";64,21;NA;-2,27563;28,61298;12,85477;302,67447;1;23;NA;0,63003;4,12962;3,59949;2;4;4;16,51301;12,79389;NA;442808,72;5910120
"6";6;"Uckermark";"Berkholz zu Berkholz Meyenburg";"1";"1";"5878817.49631903";"445107.4633659";151;"EE";"2006";"LBK Dechsel";151;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Berkholz zu Berkholz";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (445107.4633659 5878817.49631903)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";67,98;NA;8,54971;25,94524;3,4022;280,86169;1;23;NA;0,62453;5,86309;7,90804;0;6;6;213,14499;55,89547;NA;445107,46;5878817,5
"7";7;"Uckermark";"Biesenbrow";"4";"4";"5885449.97611895";"432592.54145565";167;"EE";"2007";"LBK Dechsel";167;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Biesenbrow 4";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (432592.54145565 5885449.97611895)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";24,33;NA;-9,90577;6,23952;3,31819;118,67915;6;3;3;0,85859;9,73726;1,16872;1;3;3;11,48215;6,20877;NA;432592,54;5885449,98
"8";8;"Uckermark";"Blankenburg";"8";"8";"5898584.75167729";"429693.8412193";16331;"EE";"2008";"LBK Dechsel";16331;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Blankenburg 8";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (429693.8412193 5898584.75167729)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";77,63;NA;71,45012;18,49952;17,52333;217,6552;6;23;NA;0,68302;4,03235;1,50046;1;3;4;11,23953;11,77378;NA;429693,84;5898584,75
"9";9;"Uckermark";"Blankenburg";"26";"26";"5896665.52169473";"429493.90076355";16349;"EE";"2009";"LBK Dechsel";16349;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Blankenburg 26";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (429493.90076355 5896665.52169473)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";74,39;NA;-4,1811;14,99372;8,22547;349,43716;1;3;3;0,75296;6,29018;3,67941;3;2;2;6,16624;3,61263;NA;429493,9;5896665,52
"10";10;"Uckermark";"Bruessow";"21";"21";"5917577.00376323";"443708.43688608";16400;"EE";"2010";"LBK Dechsel";16400;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bruessow 21";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (443708.43688608 5917577.00376323)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";46,26;NA;-15,57571;5,45894;1,45856;102,76279;6;22;NA;0,85504;9,67157;1,09738;3;2;2;9,56681;3,0829;NA;443708,44;5917577
