"";"adm1_code";"wikipedia";"name";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"fid";"FID_neu";"X";"Y"
"1";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";1;4001;680509,67;6075647,67
"2";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";2;4002;690509,67;6075647,67
"3";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";3;4003;700509,67;6075647,67
"4";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";4;4004;710509,67;6075647,67
"5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4005;720509,67;6075647,67
"6";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";6;4006;650509,67;6065647,67
"7";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";7;4007;660509,67;6065647,67
"8";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";8;4008;670509,67;6065647,67
"9";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";9;4009;680509,67;6065647,67
"10";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";10;4010;690509,67;6065647,67
"11";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";11;4011;700509,67;6065647,67
"12";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";12;4012;710509,67;6065647,67
"13";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";13;4013;720509,67;6065647,67
"14";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";14;4014;740509,67;6065647,67
"15";"POL-3140";NA;"Pomeranian";"Województwo";NA;2;"Poland";3337496;NA;"Q54180";"Woiwodschaft Pommern";"województwo pomorskie";15;4015;630509,67;6055647,67
