"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"ertrag_bez";"ertrag_kur";"NAME_HAUPT";"NAME_UNTER";"X";"Y"
"1";1;"Potsdam-Mittelmark";"Alt Toeplitz";"6";"6";"5812182.52885764";"357900.06311441";15210;"EE";"2001";"LBK Dechsel";15210;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Alt Toeplitz 6";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (357900.06311441 5812182.52885764)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Brandenburg-Potsdamer Havelgebiet";357900,06;5812182,53
"2";2;"Uckermark";"Bagemuehl";"15";"15";"5912778.88686268";"447127.01805692";16171;"EE";"2002";"LBK Dechsel";16171;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bagemuehl 15";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (447127.01805692 5912778.88686268)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Randowniederung";447127,02;5912778,89
"3";3;"Uckermark";"Bagemuehl";"17";"17";"5913378.65566128";"446307.35237375";16173;"EE";"2003";"LBK Dechsel";16173;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bagemuehl 17";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (446307.35237375 5913378.65566128)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Randowniederung";446307,35;5913378,66
"4";4;"Uckermark";"Bagemuehl";"37";"37";"5913378.67027175";"444937.90023559";16193;"HH";"2004";"LBK Dechsel";16193;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bagemuehl 37";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (444937.90023559 5913378.67027175)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";444937,9;5913378,67
"5";5;"Uckermark";"Battin";"17";"17";"5910119.99670872";"442808.71726897";16251;"EE";"2005";"LBK Dechsel";16251;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Battin 17";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";NA;NA;"Point (442808.71726897 5910119.99670872)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";442808,72;5910120
"6";6;"Uckermark";"Berkholz zu Berkholz Meyenburg";"1";"1";"5878817.49631903";"445107.4633659";151;"EE";"2006";"LBK Dechsel";151;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Berkholz zu Berkholz";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (445107.4633659 5878817.49631903)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";445107,46;5878817,5
"7";7;"Uckermark";"Biesenbrow";"4";"4";"5885449.97611895";"432592.54145565";167;"EE";"2007";"LBK Dechsel";167;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Biesenbrow 4";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (432592.54145565 5885449.97611895)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Randowniederung";432592,54;5885449,98
"8";8;"Uckermark";"Blankenburg";"8";"8";"5898584.75167729";"429693.8412193";16331;"EE";"2008";"LBK Dechsel";16331;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Blankenburg 8";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";NA;NA;"Point (429693.8412193 5898584.75167729)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";429693,84;5898584,75
"9";9;"Uckermark";"Blankenburg";"26";"26";"5896665.52169473";"429493.90076355";16349;"EE";"2009";"LBK Dechsel";16349;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Blankenburg 26";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (429493.90076355 5896665.52169473)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";429493,9;5896665,52
"10";10;"Uckermark";"Bruessow";"21";"21";"5917577.00376323";"443708.43688608";16400;"EE";"2010";"LBK Dechsel";16400;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bruessow 21";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"unbek.";NA;NA;NA;NA;"Point (443708.43688608 5917577.00376323)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";443708,44;5917577
"11";11;"Uckermark";"Bruessow";"67";"67";"5919326.33824594";"440489.74319084";16446;"EE";"2011";"LBK Dechsel";16446;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bruessow 67";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"unbek.";NA;NA;NA;NA;"Point (440489.74319084 5919326.33824594)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";440489,74;5919326,34
"12";12;"Uckermark";"Dedelow";"5";"5";"5912679.21794293";"419797.95038076";16585;"EE";"2012";"LBK Dechsel";16585;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Dedelow 5";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (419797.95038076 5912679.21794293)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";419797,95;5912679,22
"13";13;"Uckermark";"Dedelow";"11";"11";"5911879.54957154";"418698.38178186";16591;"EE";"2013";"LBK Dechsel";16591;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Dedelow 11";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (418698.38178186 5911879.54957154)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";418698,38;5911879,55
