sourcedb|sourcedb_version|method|labnr|c14age|c14std|c13val|site|sitetype|feature|period|culture|material|species|country|lat|lon|shortref|comment
Wechler 1993|1993|C14|Bln-2221|7730|80||Bad Dürrenberg|||Mesolithikum|Jungmesolithikum Binnenland|Knochen||Germany|||Wechler 1993, 63|
Wechler 1993|1993|C14|Bln-3874|7640|80||Rothenklempenow|||Mesolithikum|Jungmesolithikum Binnenland|Holzkohle||Germany|||Wechler 1993, 63|
Wechler 1993|1993|C14|Bln-2130|7580|80||Bad Dürrenberg|||Mesolithikum|Jungmesolithikum Binnenland|Knochen||Germany|||Wechler 1993, 63|
Wechler 1993|1993|C14|Bln-2748|7580|100||Friesack 4|Siedlung||Mesolithikum|Jungmesolithikum Binnenland|Holzkohle||Germany|||Gramsch 1987,81|check Original
Wechler 1993|1993|C14|Bln-3031|7570|70||Friesack 4|Siedlung||Mesolithikum|Jungmesolithikum Binnenland|Holzkohle||Germany|||Gramsch 1987,81|check Original
Wechler 1993|1993|C14|Bln-3873|7460|100||Rothenklempenow|||Mesolithikum|Jungmesolithikum Binnenland|Holzkohle||Germany|||Wechler 1993, 63|
Wechler 1993|1993|C14|Bln-3878|7390|60||Rothenklempenow|||Mesolithikum|Jungmesolithikum Binnenland|Holzkohle||Germany|||Wechler 1993, 63|
Wechler 1993|1993|C14|Bln-3872|7370|50||Rothenklempenow|||Mesolithikum|Jungmesolithikum Binnenland|Holzkohle||Germany|||Wechler 1993, 63|
Wechler 1993|1993|C14|Bln-3030|7290|60||Friesack 4|Siedlung||Mesolithikum|Jungmesolithikum Binnenland|Holzkohle||Germany|||Gramsch 1987,81|check Original
Wechler 1993|1993|C14|Bln-3029|6990|70||Friesack 4|Siedlung||Mesolithikum|Jungmesolithikum Binnenland|Holzkohle||Germany|||Gramsch 1987,81|check Original
Wechler 1993|1993|C14|OxA-615|6900|100||Berlin-Schmöckwitz|||Mesolithikum|Jungmesolithikum Binnenland|Knochen||Germany|||Gowlett et al 1987, 131|check Original
Wechler 1993|1993|C14|Bln-3241|6270|100||Schöpsdorf|||Mesolithikum|Spätmesolithikum|Holzkohle||Germany|||Wechler 1989, 45|check Original
Wechler 1993|1993|C14|Bln-561|5815|100||Lietzow-Buddelin|||Mesolithikum|Ertebölle (Lietzowgruppe)|Holzkohle||Germany|||Gramsch 1978, 159.161|check Original
Wechler 1993|1993|C14|Bln-562|5455|100||Ralswiek-Augustenhof|||Mesolithikum|Ertebölle (Lietzowgruppe)|Holzkohle||Germany|||Gramsch 1978, 159.161|check Original
Wechler 1993|1993|C14|Bln-560|5190|120||Lietzow-Buddelin|||Mesolithikum|Ertebölle (Lietzowgruppe)|Holzkohle||Germany|||Gramsch 1978, 159.161|check Original
Wechler 1993|1993|C14|Bln-1430|6900|60||Eilsleben|||Neolithikum|älteste LBK|Holzkohle||Germany|||Raetzel-Fabian 1986, Datenliste|check Original
Wechler 1993|1993|C14|Bln-1429|6558|75||Eilsleben|||Neolithikum|älteste LBK|Holzkohle||Germany|||Raetzel-Fabian 1986, Datenliste|check Original
Wechler 1993|1993|C14|H-1487/985|6480|210||Eitzum|||Neolithikum|älteste LBK|Holzkohle||Germany|||Raetzel-Fabian 1986, Datenliste|check Original
Wechler 1993|1993|C14|Bln-51|6310|200||Eitzum|||Neolithikum|älteste LBK|Keramik||Germany|||Raetzel-Fabian 1986, Datenliste|check Original
Wechler 1993|1993|C14|OxA-1627|6190|90||Eilsleben|||Neolithikum|älteste LBK|Knochen||Germany|||Whittle 1990, 300|check Original
Wechler 1993|1993|C14|OxA-1624|6140|90||Eilsleben|||Neolithikum|älteste LBK|Knochen||Germany|||Whittle 1990, 300|check Original
Wechler 1993|1993|C14|OxA-1626|6070|100||Eilsleben|||Neolithikum|älteste LBK|Knochen||Germany|||Whittle 1990, 300|check Original
Wechler 1993|1993|C14|OxA-1625|6030|100||Eilsleben|||Neolithikum|älteste LBK|Knochen||Germany|||Whittle 1990, 300|check Original
Wechler 1993|1993|C14|GrN-1581|6160|70||Zwenkau-Harth|||Neolithikum|jüngere LBK|Holzkohle||Germany|||Raetzel-Fabian 1986, Datenliste|check Original
Wechler 1993|1993|C14|Bln-817|5890|100||Zwenkau-Harth|||Neolithikum|jüngere LBK|Holzkohle||Germany|||Raetzel-Fabian 1986, Datenliste|check Original
Wechler 1993|1993|C14|Bln-4199|6250|50||Zollchow|||Neolithikum|jüngere LBK|Knochen||Germany|||Wechler 1993, 63|
Wechler 1993|1993|C14|Bln-4221|5520|100||Prenzlau 95|||Neolithikum|jüngere LBK|Knochen||Germany|||Wechler 1993, 63|
Wechler 1993|1993|C14|Bln-2522|6040|60||Eilsleben|||Neolithikum|jüngste LBK|Holzkohle||Germany|||Jäger/Kaufmann 1989, 307|check Original
