gefäßnummer|x_scherben|n_anspassungen|h_insg|h_unterteil|h_oberteil|h_hals|durchm_r|erh_r|randabschluss_gr|randabschluss_f|randneigung|durchm_s|erh_s|durchm_b|erh_b|boden|bodenwinkel|durchm_bod|erh_bod|gef_typ|gef_typ_gr|gef_untertyp|bem|vgl|rand_halsband|randform_nonek|schulterform_nonek|bauchform_nonek
1|3|2||||42|210|5|gerade|gerade abgestrichen|90||4||0||||0|unklar|||grobes Gefäß|||du||
2|13|6||70|35|||0|||||0|180|10||||0|Becher D5 / D10 nach Kaufmann?|Becher|D5 / D10?||Zápotocká 1970, Taf. 7, 11 & 13 ||||
3|9|4|110||75|40|160|22|gerade|horizontal abgeschlossen, gerundet|90|160|35|240|6||||0|Becher D5 / D10 nach Kaufmann?|Becher|D5 / D10?|grobes Gefäß|||du|xo|
3b|1|0||||40||5|gerade|horizontal abgeschlossen, gerundet|70||1||0||||0|Becher D5 / D10 nach Kaufmann?|Becher|D5 / D10?|grobes Gefäß|||di||
4|24|3||||23|90|12|gerade|horizontal abgeschlossen, gerundet|80||1|240|10||||0||Becher||keine große zusammenhängede Fläche, aber machart so ähnlich – zusammengefügt|||du|do|di
4b|2|0||||||0|||||1||0||||0||||kleine senkrechte Knubben|||||
5|2|2||||40|80|12|gerade|gerade abgestrichen|90||0||0||||0|Becher?|Becher||nur Hals|||||
6|2|0|||||160|8|gerade|horizontal abgeschlossen, gerundet|60||0|160|5||||0|Schale C1 Kaufmann?|Schale|C1 ||||||
7|10|4||||31|140|20|gerade|gerade abgestrichen|90||0||0||||0||||grobes Gefäß|||||
10|4|3||||30|100|15|gerade|gerade abgestrichen|90||0||0||||0|||||||||
11|9|9|120|||50|140|30|gerade|gerade abgestrichen|60||1||0|Standfuß|110|90|30|Fußschale|Fußschale|||||xi||xi
12|3|2||||74|210|7|gerade|horizontal abgeschlossen, gerundet|90||0||0||||0|Schale|Schale||sehr dick|||||
13|4|2||27|22|15||0|||90|40|10|70|20|Rundboden|||0|Becher|Becher||extrem abgerollt, Typ D2 nach Kaufmann? Rundboden  ist eine Vermutung|||du|xo|xi
14|7|0||||||0|||||0||0||||0|unklar|||feineres Gefäß|||||
15|1|0||||||0|||||0||0||||0|unklar|||feineres Gefäß|||||
16|5|0||||||0|||||0||0||||0|unklar|||grobes Gefäß|||||
17|1|0||||||0|||||0||0||||0|unklar|||grobes Gefäß|||||
18|1|0||||||0|||||0||0||||0|unklar|||grobes Gefäß|||||
