Sys_Czerniak1980_Abb7|ID|scherben.id|gefäßnummer|technikform|technik|ausfuehrung|größe|ausr.zu.rand|Handhabentyp|Form_grundflaeche|profil_tiefe|profil_seitlich_abschluss|seitlich_richtung|geteilt|gelocht|gepropft|in Muster einbezogen|ort|ort_k|länge_mm|tiefe_mm|länge_zu_tiefe|Bemerkung|Ornament|Bemerkung2|kultur|stufe|fundort|kreis||
1n||50|3|Oval-gerade|knubbe|mittel|groß|90|Knubbe|oval|flach|gerundet|gerade|einteilig|nein|gepropft|ins Muster einbezogen|hals|hals|35||||100|gleichmäßiger Abstand|SBK|spät|Seelow 20|Märkisch-Oderland||
1n||52|3|Oval-gerade|knubbe|mittel|groß|90|Knubbe|oval|flach|gerundet|gerade|einteilig|nein|gepfropft|ins Muster einbezogen|hals|hals|35||||100|gleichmäßiger Abstand|SBK|spät|Seelow 20|Märkisch-Oderland||
1n||Bild 49|3|Oval-gerade|knubbe|mittel|groß|90|Knubbe|oval|groß|gerundet|gerade|einteilig|nein|ins Muster einbezogen|ins Muster einbezogen|hals|hals|35|15|2,33333333333333||100|gleichmäßiger Abstand|SBK|spät|Seelow 20|Märkisch-Oderland||
1ar||68, 137 und 327|11|rund-gerade|knubbe|flach|klein||Knubbe|rund|flach|gerundet|gerade|einteilig|nein||ins Muster einbezogen|randständig|randständig|13|5|2,6||NA|nach innen orientiert|SBK|spät|Seelow 20|Märkisch-Oderland||
6n||300|113a|Oval-gerade|henkel|klein|mittel|90|Henkel|oval|flach|gerundet|gerade|einteilig|quer große Öffnung|gepfropft||unklar||17|5|3,4||NA|NA|SBK|spät|Seelow 20|Märkisch-Oderland||
1br||72|26|horizontal länglich|randlappen|mittel|groß|0|Randlappen|oval|mittel|gerundet|gerade|einteilig|nein|||randständig|randständig|35|10|3,5||NA|Randlappen|SBK|spät|Seelow 20|Märkisch-Oderland||
1n||54|4b|Oval-gerade|knubbe|NA|NA|90|Knubbe|oval|flach|gerundet|gerade|einteilig|nein||ins Muster einbezogen|hals?|hals|15|5|3||101|Ausrichtung von Knubben? Ausrichtung des Musters?|SBK|spät|Seelow 20|Märkisch-Oderland||
1n||56|4b|Oval-gerade|knubbe|NA|NA|90|Knubbe|oval|flach|gerundet|gerade|einteilig|nein|herausgearbeitet| ins Muster einbezogen|hals?|hals|15|5|3||101|Ausrichtung von Knubben? Ausrichtung des Musters?|SBK|spät|Seelow 20|Märkisch-Oderland||
7n||155|60|Rechteckig-gerade|gelochte Knubbe|NA|NA|90|Knubbe|oval|flach|eckig|gerade|einteilig|quergelocht|NA||schulter|schulter|15|5|3||NA|NA|SBK|spät|Seelow 20|Märkisch-Oderland||
6n?||219|89|nicht erhalten|Henkel|klein|klein|90|Henkel|oval|mittel|gerundet|gerade|einteilig|quer große Öffnung|gepropft||unklar||25|10|2,5|nur untere Hälfte erhalten|NA|Ausrichtung unsicher|SBK|spät|Seelow 20|Märkisch-Oderland||
1ar||426|220|rund-gerade|knubbe|flach|klein||Knubbe|rund|mittel|gerundet|gerade|einteilig|nein|||randständig|randständig|15|10|1,5||NA|NA|Rössen|nicht differenzierbar|Flemsdorf|Uckermark||
1c||427|221|Oval-spitz-hochgezogen|knubbe|spitz|mittel|0|Knubbe|oval|groß|spitz|gerade|einteilig|nein|||schulter|schulter|15|15|1||NA|spitz|Rössen|nicht differenzierbar|Flemsdorf|Uckermark||
7a||472|266|Rund-spitz-gerade|knubbe|klein|klein||Knubbe|rund|flach|spitz|gerade|einteilig|nein|herausgearbeitet||schulter?|schulter|12|5|2,4||NA|12mm|SBK?|nicht differenzierbar|Hohenbrück 3|Dahme-Spreewald||
1a||459|244|rund-gerade|knubbe|klein|klein||Knubbe|rund|flach|gerundet|gerade|einteilig|nein|herausgearbeitet||hals|hals|10|4|2,5||NA|NA|BKK?|nicht differenzierbar|Hohenbrück 3|Dahme-Spreewald||
8b||462|246|rund-gerade|doppelknubbe|klein|mittel||Knubbe|oval|flach|gerundet|gerade|zweigeteilt|nein|herausgearbeitet||schulter|schulter|2x10|5|||NA|NA|BKK?|nicht differenzierbar|Hohenbrück 3|Dahme-Spreewald||
7p||463|247|oval-hochgezogen|randlappen|mittel|mittel|0|Randlappen|oval|mittel|gerundet|hochgezogen|gedellt|nein|herausgearbeitet||über rand hinaus|randständig|30|10|3||NA|gedellter|BKK?|nicht differenzierbar|Hohenbrück 3|Dahme-Spreewald||
1cr||464|248|horizontal länglich|randlappen|flach|groß|0|Randlappen|oval|mittel|spitz|gerade|einteilig|nein|herausgearbeitet||randständig|randständig|30|7|4,28571428571429||NA|NA|BKK?|nicht differenzierbar|Hohenbrück 3|Dahme-Spreewald||
2cr||465|249|horizontal länglich|randlappen|klein|klein|0|Randlappen|oval|mittel|gerundet|hochgezogen|einteilig|nein|herausgearbeitet||über rand hinaus|randständig|25|7|3,57142857142857||NA|NA|BKK?|nicht differenzierbar|Hohenbrück 3|Dahme-Spreewald||
1d||466|250|Schräg-eckig-gerade|knubbe|mittel|mittel|70|Knubbe|Eckig-oval|groß|gerundet|gerade|einteilig|nein|herausgearbeitet||hals?|hals|25|15|1,66666666666667||NA|NA|BKK?|nicht differenzierbar|Hohenbrück 3|Dahme-Spreewald||
8nr||467|251|Schmaloval-gerade|knubbe|mittel|groß|90|Knubbe|oval|mittel|gerundet|gerade|einteilig|nein|herausgearbeitet||randständig|randständig|30|7|4,28571428571429||NA|rechtwinklig zum Rand, wie Nase|BKK?|nicht differenzierbar|Hohenbrück 3|Dahme-Spreewald||
2dr||468|252|Oval-gerade|knubbe|mittel|groß|70|Knubbe|oval|mittel|gerundet|gerade|einteilig||herausgearbeitet||randständig|randständig|33|7|4,71428571428571||NA|schräg vom Rand aus|BKK?|nicht differenzierbar|Hohenbrück 3|Dahme-Spreewald||
4n||475|269|Eckig-gerade|henkel|groß|sehr groß|90|Henkel|oval|sehr groß|gerundet|gerade|einteilig|quergelocht|||hals-schulter-umbruch|hals-schulter-umbruch|55|32|1,71875||NA|NA|Rössen|nicht differenzierbar|Flemsdorf|Uckermark||
4p2||479|272|zapfenförmig|knubbe|sehr groß|groß|0|Knubbe|oval|sehr groß|gerundet|hochgezogen|einteilig|nein|gepfropft||unklar||25|40|0,625||NA|NA|Rössen|nicht differenzierbar|Flemsdorf|Uckermark||
8ar||499|288|Rund-hochgezogen|knubbe|mittel|klein||Knubbe|rund|mittel|abgestumpft|hochgezogen|einteilig||herausgearbeitet||über rand hinaus|randständig|15|6|2,5||NA|NA|BKK?|nicht differenzierbar|Bochow 2|Teltow-Fläming||
3n||500|289|Länglich-rund|henkel|sehr groß|groß|90|Henkel|oval|sehr groß|gerundet|gerade|einteilig|quergelocht|||Schulter|schulter|55|20|2,75||NA||Rössen?|nicht differenzierbar|Bochow 2|Teltow-Fläming||
9b||502|291|oval-hochgezogen|knubbe|flach|klein|0|Knubbe|oval|flach|gerundet|hochgezogen|einteilig|senkrechte gelocht|||schulter-bauch-umbruch|hals-schulter-umbruch|20|5|4||NA|von unten plattgedrückt|Rössen?|nicht differenzierbar|Bochow 2|Teltow-Fläming||
3n||536|326|rundlich|henkel|mittel|sehr groß|90|Henkel|oval|sehr groß|gerundet|gerade|einteilig|quergelocht|||schulter|schulter|40|17|2,35294117647059||NA|NA|Rössen?|nicht differenzierbar|Bochow 2|Teltow-Fläming||
