Ornament.ID|Kombination der Muster|Nur waagerechte Bänder|Waagerechtes Band über einem senkrechten Band|Waagerechtes Band über senkrechten und schrägen Elementen|Waagerechtes Band über Schrägen/Winkeln|Waagerechtes Band über anderem Muster|Waagerechtes Band unter anderem Muster|Waagerechtes Band zwischen 2 Mustern|Waagerechtes Band über und unter 1 Muster|Senkrechte Reihe als Hauptmotiv|Senkrechte Reihe ohne waagerechte Reihe |Senkrechte Reihe als Trennung zwischen Winkeln|Senkrechte Reihe zwischen den Schenkeln der Winkel|Senkrechte Reihe zwischen Rauten|Senkrechte Reihe führt auf Winkelspitze zu|Senkrechte Reihe und Winkel mit Abstand|versetzte Muster an senkrechter Reihe|Einfache Winkelbänder|Mehrfache Winkelbänder|Reihen stehender Dreiecke – gefüllt|Reihen stehender Dreiecke – Winkel|Reihe hängender Dreiecke – gefüllt|Abwechselnd hängende und stehende gefüllte Dreiecke|Einfache stumpfe Winkel (nur innerste berühren)|Winkel fächern sich auf – „werden stumpf“|Zwickel-Zwischenraum-Füllungen|Sondermuster-Zusatzmotive|Nach unten offene Rechtecke|Rauten durch Winkel|Rauten durch Reihen|Linien-Reihen-Vierecke|Unterbrochene Bänder|Radiale Reihen|Auflösungserscheinungen|Beschreibung|Summe Kategorien
1|9, 10, 11, 12||||||1|1|||||||||||||||1||||||||||||Dreiecke über Einzelstichreihe, darunter zwei parallele Reihen|3
3|9, 29||||1|||||||||||||||||||1|||||||||||unter einer Reihe Einzelstiche, gestapelte Winkelaus min 3 parallele Reihen|2
4|3w, 93|||||||||1|||||||||||||||||||||||||unter drei parallelen waagerechen Reihen zwei senkrechte Reihen aus unterschiedlichen Stichen|1
5|2, 38, 16b, 40|||||||||||||||1|||||||||||||||||||zwei waagerechte Reihen, von der unteren gehen zwei Bündel von je min 4 und min 2 senkrechten Reihen ab. Ein Einzelstich stört eine der waagerechten Reihen, einige Bnder werden schräg und bilden am Bauchumbruch einen Winkel, Bauch unverziert|1
6|3w, 111|||1|1||||||||||||||||||||||||||||||drei waagerechte Reihen, von denen min 4 parallele Reihen abgehen|2
10|4w, 5||||||1||||||||||||||||||||||||||||Im 45 Grad Winkel min 2 parallele Reihen, gehen bis an Bauchumbruch, darunter min ein waagerechtes Band|1
11|2w, 50|||1|||||||||||||||||||||||||||||||von einem waagerechten Band aus min 2 parallelen Reihen gehen 2 senkrechte ab, von denen schräge Reihen abgehen, die stehende gefüllte Dreiecke bilden, dazu parallel 3 weitere schräge Reihen von der waagerechten ab|1
12|2w, 51 und 52|||1|||||||||1||||||||||||1||||||||||waagerechtes Band mit Knubbe, darunter Winkel, die von senkrechten getrennt werden (4-reihig)|3
12b|111, 51|||1|||||||||1||||||||||||1||||||||||waagerechtes Band, darunter Winkel, die von senkrechten getrennt werden (alles 4-reihig)|
20||1|||||||||||||||||||||||||||||||||drei Reihen parallel, aus unterschiedlichen Stichen, ähnlich Muster 93|1
21|4w, 201|||1|1||||||||||||||||||||||||||||||Min, eine waagerechte Reihe. Von der ein min 2reihiger Winkel hängt, wovon eine Reihe senkrecht ust|2
23|3, 202||||||||||||||||||||||||||||||||||Auf der Schulter ein drei-reihiges schräges Band, das auf dem Bauchknick endet, darunter: eine waagerechte Reihe und davon abgehend eine Reihe im 45 Grad Winkel nach unten|0
25|Knubbe, 22b. 96, 23|||||||||1|1|||||||||||||||1||1|||||||Auf Schale: nach unten offene gestapelte Rechtecke (4-fach) werden durch eine Knubbe getrennt, unterhalb der Knubbe flächig Einzelstiche, auf Fuß: Bündel paralleler Reihen, versetzt zu den nach unten offenen Rechteck-Bündeln (immer zwei parallele Reihen näher beieinander)|4
26|22|1|||||||||||||||||||||||||||||||||Hals bis Schulter flächig mit parallelen Reihen in gleichmäßigen Abständen verziert|1
27|251, 22, 115||||1|||||||||||||1||||||||1|||||||||waagerechte Reihe aus versetzten Einzelstichen, darunter breites Zickzackband mit 90 Grad-Winkeln, dessen Zwickel mit flächig mit parallelen Reihen gefüllt waren|3
28|251, 116||||||||||||||||||||||||||||||1||||unter einer waagerechten Reihe versetzter Einzelelemente, ohne Berührung vmtl mehrere Leiterbänder mit Begleitstichen|1
29|2, 119, 4w, 204, 349e||||1||1|1|1||||||1||||1||1|||||||||||||1|Unterhalb 2 parallelen waagerechten Reihen sitzt eine Reihe stehender gefüllter Dreiecke (obere Spitzen berühren das waagerechte Band) aus drei Reihen, nur die äußersten Reihen berühren sich, darunter ist eine Lücke auf Höhe des Bauchknicks, darunter eine einzelne waagerechte Doppelstichreihe, unterhalb der ein Winkelband aus zwei Reihen sitzt, eine senkrechte Reihe trifft von unten auf die Spitze des stehenden Winkels |8
30|2s, knubbe, 2, 16c, 22, 5, 2s|||1|||||||||1||||||||||||||1||||||||ein senkrechtes Band führt auf die geschlitzte Knubbe zu (und darunter weiter) und wird von doppelten paarigen Stichen begleitet, es teilt ein waagerechtes Band, das gebrochen oberhalb der Knubbe liegt; ein breites schräges band und min 2 parallele Reihen führen an der Knubbe schräg vorbei, so dass sie mit den waagerechten Reihen ein Dreieck bilden, in dessen Spitze die Knubbe liegt|3
100|09 und 13||||||||||||||||||||||||||||||||||eine Knubbe wird in ein waagerechtes Band Einzelstiche einbezogen|0
101|13, 5 und 16||||||||||||||||||||||||||1||||||||senkrechte Knubbe einbezogen in zwei Doppelstichreihen, darunter ein einzelner Doppelstich|1
102|4w, 23||1|||||||1|||||||||||||||||||||||||waagerechtes Band, davon abgehend min 3 parallele Bündel von vmtl jedesmal 2 senkrechten reihen|2
102b|4w, 23, 18b||1|1||||||1|||||||||||||||||||||||||waagerechtes Band, davon abgehend min 2 parallele Bündel von vmtl jedesmal 2 senkrechten reihen und in unklarem Verhältnis dazu eine schräge Reihe, vmtl eines Winkels, der zwischen einigen der senkrechten steht|
103|251, 254|||||1|||||||||||||||||||||||||||||eine waagerechte Doppelreihe versetzter Elemente, darunter flächige senkrechte Schraffur|1
105|2, 71, 16b, 251|1|||||||||||||||||||||||||||||||||Mindestens 2 parallele Reihen von Einstichen, darunter eine geschlitzte Knubbe, die in zwei parallele Reihen versetzter Elemente einbezogen wird|1
107|4w, 24b||||1|||||||||||||||||1|||||||||||||eine waagerechte Reihe mit darunter hängenden gefüllten Dreiecken (Füllung sind parallele Linien zu einer Seite der Dreiecksbegrenzung)|2
108|3w, 80|||1|||||||||||||||||||||||||||||||drei parallele waagerechte Reihen, von denen drei senkrechte reihen und min 2 schräge reihen abgehen, die aufeinander stoßen|1
109|85, Knubbe, 85b||||||||||||||||||||||||||||1||||||teil einer Raute oder eckigen Spirale, seitliche Spitze trifft auf kreuzgeschlitzte Knubbe, links oberhalb der Knubbe beginnt eine weitere kleine Raute / Spirale|1
110|2w, 87||||1||||||||||||||||||||||||||||||waagerechtes Band (min 2) über einem breiten schrägen band (min 5 parallele Reihen)|1
111|4s, 250||||1||||||||||||||||||||||||||||||ein mindestens einzeilgies Band, an das die Spitze von min 4 parallelen Reihen, die einen Winkel bilden stößt|1
112|2w, 23||1|||||||1|||||||||||||||||||||||||zwei waagerechte Reihen, von der unteren gehen min 4 Bündel von je 2 senkrechten Reihen ab|2
113|4w, 94, knubbe||||1|||||||||||||1||||||||||||||||1|unter einer Waagerechten Reihe eine Reihe hängender Winkel (aufgelöstes Winkelband), kleine flache Knubbe einbezogen|3
114|2w, 97, 2 Knubbe, 97b||||1|||1|1|||||||||1|||1|||1||||||||||1|zwei waagerechte Reihen, von der unteren gehen Winkelreihen ab, darunter wieder ein waagerechtes Band, in dem Knubben liegen und unter dem ein weiteres kleines Winkelband folgt|7
115|3, knubbe, 3||||||||||||||||||||||||||||||||||drei parallele schräge Reihen führen auf eine Knubbe zu (Schulter), dazu versetzt zur Seite unterhalb der Knubbe der Ansatz weiterer drei Reihen (senkrecht)|0
116|3w, 3s, 4, 9, 16||1||||||||||||||||||||||||1||||||||Drei parallele waagerechte Reihen, von denen an einem Punkt drei senkrechte reihen und min 1 45Grad-schräge reihe abgehen, dazu eine senkrechte Reihe Einzelstiche und evtl noch weitere Einzelstiche|2
117|93, 254, 106|1|||||||||||||||||||||||||||||||||Vermutlich zwei parallele Bänder, gefüllt mit Rössener Doppelstichen und im zweiten Fall auch mit Furchenstichen|1
118|86, 86||||||||||||||||||||||||||||||1||||Zweimal Muster 86 nebeneinander|1
119|109, 254|||||||||||||||||||||||||1|||||||||gestapelte Winkel, Leerfläche mit Schraffur gefüllt, die Dreiecke bildet|1
120|3, 254||||||||||1|||||||||||||||1|||||||||Reihen scheinen Begrenzung von flächiger Schraffur zu sein, evtl wie 119|2
121|4, 254, 63|||||||||||||||||||||||||1|||||||||4 parallele Reihen, umgebung von flächiger Schraffur, die einen Abstandzu einem Leiterband herstellt (gebrochen)|1
122|114, 22 oder 254|||||1|||||||||||||||||||||||||||||waagerechtes Band aus 5 parallelen Ritzlinien, darunter, ohne Berührung eine anscheinend flächige Füllung durch 80-90 Grad parallele Ritzlinien|1
123|250, 22|||||||||||||||||||||||||1|||||||||Min 4 gestapelte Winkel, vermutlich eines Winkelbandses, gefüllte Zwickel mit parallelen Reihen von paarig gesetzten Stichen (bilden gefülltes Dreieck)|1
124|260|||||||||||||||||||||1|||||||||||||min. eine Reihe von sich nicht berührenden Dreiecken (260)|1
125|9, 254, 100||||1|||||||||||||1||||||||1|||||||||eine Reihe Einzelstiche, darunter ein dreifaches Zickzackband, dessen Zwickel mit Schraffur gefüllt wurden|3
126|266, 22||||||||||||||||||||||||||||||||||Dreieck aus auf einer Seite nur einer Reihe, auf der anderen seiten zwei parallele Linien, gefüllt mit paralleleln Reihen aus Stichen|0
127|109, 22|||||||||||||||||||||||||1|||||||||drei gestapelte 60-Grad-Winkel, Zwickelfüllung aus mehreren parallelen Reihen von Einzelstichen |1
128|Delle, 9, 268, 269|||1||||||||||||1||||||||1|||||||||||eine flache waagerechte Delle wird von einer Reihe Einzelstiche begleitet, davon gehen breite Bündel senkrechter Stichreihen (mindestens ein Bündel min. 6 Reihen) ab und davon geht min ein stehender gestapelter Winkel (min 2 x (3 u min1) ) ab|3
129|102, 102|||||||||||||||||||1|||||||||||||||Zwei gefüllte Dreiecke aus senkrechten Reihen mit Anhängseln im 45 Grad Winkel (gespiegelt zueinander)|1
