FO|Bef|archivnr|max_l|max_b|min_dicke|max_dicke|verz|magerungsgr|magerungsart|magerungsbestandteile|magerungsbestandteile_gr|magerungsmenge|sys_czerniak|sys_cz_sicher|sys_cz_evtl||bruchfarbe|bruchaufbau|ofl_außen|ofl_innen|erhaltung_ofl_außen|sek_ofl-veraenderung|fotonr|typ|lage_im_gef|sicherheit_orient|vert_umbruch|farbe_außen|gefäßnummer|x-scherben|bemerkung|RTI|zeichn|publ|bruchpotential|kultur|stufe|fundort|kreis|gemarkung|land||kultur2
Seelow 20|22|18/6/1|31|27|5|7|Winkel? Nur als Hauch erkennbar|fein|anorganisch|organisch, Schamott, Sand, Glimmer, Stein|Organik, Schamott, Sand, Glimmer, Stein|mittel|VII D||||hell|nicht erkennbar|geglättet|geglättet|Stark abgerollt|NA|1|Wandscherbe|Hals-Schulter-Umbruch|sicher|mittlere Wölbung|gelblich|13|1|RTI alt war 001|2023-01-11_02|Seelow_Gef013_III|NA|gut gewaschen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland||SRK
Seelow 20|22|18/6/1|36|50|6|7|nein|fein|anorganisch|organisch, Schamott, Sand, Glimmer, Stein|Organik, Schamott, Sand, Glimmer, Stein|mittel|VII D||||Hell-dunkel-hell|N?|geglättet|geglättet|Stark abgerollt|NA|2|Wandscherbe|Schulter-Bauch-Umbruch|sicher|mittlere Wölbung|gelblich|13|1|NA|nein|Seelow_Gef013_III|NA|gut gewaschen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland||SRK
Seelow 20|22|18/6/1|41|26|5|8|nein|fein|anorganisch|organisch, Schamott, Sand, Glimmer, Stein|Organik, Schamott, Sand, Glimmer, Stein|mittel|VII D||||Hell-dunkel-hell|nicht erkennbar|geglättet|geglättet|abgerollt|NA|3|Wand- oder Bodenscherbe|unklar|unsicher|starke Wölbung|gelblich bis gräulich|13|1|NA|nein|Seelow_Gef013_III|NA|gut gewaschen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland||SRK
Seelow 20|22|18/6/1|19|10|5|5|ja, Ende eines Bands?|fein|anorganisch|sand|sand|wenig|III A||||Hell-dunkel-hell|nicht erkennbar|Schlickerüberzug|Schlickerüberzug|gut erhalten|NA|4|Wandscherbe|unklar|unsicher|keine Wölbung|gelb|23|1|unbeschriftet|2023-01-10_07n2|seelow_004_129_Gef023|NA|gut gewaschen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland||SRK
Seelow 20|22|18/6/1|20|17|4|6|nein|fein|anorganisch|sand|sand|wenig|III A||||Hell-dunkel-hell|nicht erkennbar|Schlickerüberzug|Schlickerüberzug|etwas abgerollt|NA|5|Wandscherbe|unklar|unsicher|keine Wölbung|gelb|23|1|NA|nein|nein|NA|gut gewaschen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland||SRK
Seelow 20|22|18/6/1|26|26|5|6|nein|fein|anorganisch|sand|sand|wenig|III A||||Hell-dunkel-hell|nicht erkennbar|Schlickerüberzug|Schlickerüberzug|gut erhalten|NA|6|Wandscherbe|unklar|unsicher|keine Wölbung|gelb|23|1|NA|nein|nein|NA|gut gewaschen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland||SRK
Seelow 20|22|18/6/1|22|10|5|6|nein|fein|anorganisch|sand|sand|wenig|III A||||Hell-dunkel-hell|nicht erkennbar|Schlickerüberzug|Schlickerüberzug|gut erhalten|NA|7|Wandscherbe|unklar|unsicher|keine Wölbung|gelb|23|1|unbeschriftet|nein|nein|NA|gut gewaschen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland||SRK
Seelow 20|22|18/6/1|15|14|6|6|nein|fein|anorganisch|sand|sand|wenig|III A||||Hell-dunkel-hell|nicht erkennbar|Schlickerüberzug|Schlickerüberzug|gut erhalten|NA|8|Wandscherbe|unklar|unsicher|keine Wölbung|gelb|23|1|unbeschriftet|nein|nein|NA|gut gewaschen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland||SRK
Seelow 20|22|18/6/1|40|35|7|9|nein|fein|anorganisch|Sand, wenig Glimmer|Sand,Glimmer|wenig|III B / IV A0||||grau|N?|glatt, matt|glatt, matt|gut erhalten|NA|9|Wandscherbe|unklar|unsicher|keine Wölbung|Beige-grau|14|1|NA|nein|nein|NA|schlecht gewaschen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland||SRK
Seelow 20|22|18/6/1|35|16|7|8|nein|fein|anorganisch|Sand, wenig Glimmer|Sand,Glimmer|wenig|III B / IV A0||||grau|N?|glatt, matt|glatt, matt|gut erhalten|NA|10|Wandscherbe|unklar|unsicher|keine Wölbung|Beige-grau|14|1|NA|nein|nein|NA|schlecht gewaschen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland||SRK
