scherben.id|gefäßnummer|technikform|technik|zinkenzahl|ausfuehrung|groeße|element|element_wdh|element_neu|wdhlng_elem_neu|Bandbreite|Wdh_Band|muster|muster.zusatz|Muster_neu|Muster_neu_gr|gebrochen|ausr.zu.rand|ort|ort_k|muster.id|ornament.id|bemerkung|kultur|stufe|fundort|kreis|gemarkung|land
Bild 40|2|oval-spitz|doppelstich, versetzt|2|tief|mittel|Reihe versetzter Doppelstiche|Reihe|Reihe|1|1|1|gefülltes dreieck|stehend|Stehendes 30 Grad Dreieck auf der Schulter|schräges schmales Dreieck mit lockerer Füllung|0|130|schulter|schulter|10|1|„schräg hängendes Dreieck mit einzelnen Stichen gefüllt“, nicht parallel: aufeinander zustoßend: 1 reihe, dann zwei unterbrochene reihen und wieder 1 reihe|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
Bild 40|2|oval-spitz|doppelstich, versetzt|2|tief|mittel|Reihe versetzter Doppelstiche|Reihe versetzter Elemente|Reihe versetzter Elemente|2|2|1|gefülltes dreieck|versetzte Doppelstiche|Stehendes 30 Grad Dreieck auf der Schulter|schräges schmales Dreieck mit lockerer Füllung|0|110|schulter|schulter|10|1|„schräg hängendes Dreieck mit einzelnen Stichen gefüllt“?|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
Bild 40|2|oval-spitz|doppelstich, versetzt|2|tief|mittel|Reihe versetzter Doppelstiche|Reihe|Reihe|1|1|1|gefülltes dreieck|stehend|Stehendes 30 Grad Dreieck auf der Schulter|schräges schmales Dreieck mit lockerer Füllung|0|110|schulter|schulter|10|1|„schräg hängendes Dreieck mit einzelnen Stichen gefüllt“?|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
Bild 40|2|oval-spitz|doppelstich, versetzt|2|tief|mittel|Reihe versetzter Doppelstiche|Reihe mit Anhängen|Reihe mit Anhängen|1|1|1|gefülltes dreieck|hängend|Hängendes 30 Grad Dreieck auf der Schulter|schmales hängendes Dreieck auf der Schulter|0|60|schulter|schulter|11|1|„gefülltes Dreieck auf der Spitze“?|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
Bild 40|2|oval-spitz|doppelstich, versetzt|2|tief|mittel|Reihe versetzter Doppelstiche|parallele Reihen|parallele Reihen|Min 2|2|1|gefülltes dreieck|30 Grad Winkel|Hängendes 30 Grad Dreieck auf der Schulter|schmales hängendes Dreieck auf der Schulter|1|90|schulter|schulter|11|1|„gefülltes Dreieck auf der Spitze“?|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
40 und 42|2|schmal-spitz|doppelstich, parallel|2|flach|sehr klein|unterbrochene Furchenstichreihe|Parallele Reihen gruppierter Elemente|Parallele Reihen gruppierter Elemente|2|2|1|waagerechtes band|unterbrochen|Band direkt unterhalb des Bauchumbruchs aus zwei Reihen|Band direkt unterhalb des Bauchumbruchs|0|0|bauch|bauch|12|1|„Ähren“|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
Bild 48|2|oval-spitz|doppelstich, versetzt|2|tief|mittel|Reihe versetzter Doppelstiche|parallele reihen|parallele reihen|Min 3|3|1|||||1|135|schulter|schulter|3|1|Ort rekonstruiert, gleichmäßiger Abstand|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
48, 44 und 40|2|halbrund|einzelstich|1|tief|groß|Reihe Einzelstiche parallel|Reihe|Reihe|1|1|1|waagerechte einzelstichreihe||Einzelstiche auf Bauchumbruch|Band auf Bauchumbruch|0|0|umbruch|schulter-bauch-umbruch|9|1|Betonung d. Umbruchs, gleichmäßiger Abstand|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
50|3|oval|fingernagelabdruck|1|tief|sehr groß|Reihe Einzelstiche parallel|Reihe|Reihe|1|1|1|waagerechte einzelstichreihe||Eine Reihe Einzelstiche in Hals-Schulter-Umbruch|Band im Hals-Schulter-Umbruch|0|0|hals-schulter-umbruch|hals|9|100|gleichmäßiger Abstand|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
51|3b|oval|fingernagelabdruck|1|tief|sehr groß|Reihe Einzelstiche parallel|Reihe|Reihe|1|1|1|waagerechte einzelstichreihe||Eine Reihe Einzelstiche in Hals-Schulter-Umbruch|Band im Hals-Schulter-Umbruch|0|0|hals-schulter-umbruch|hals|9||unklar, gebrochen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
52|3|oval|fingernagelabdruck|1|tief|sehr groß|Reihe Einzelstiche parallel|Reihe|Reihe|1|1|1|waagerechte einzelstichreihe||Eine Reihe Einzelstiche in Hals-Schulter-Umbruch|Band im Hals-Schulter-Umbruch|0|0|hals-schulter-umbruch|hals|9|100|unklar, gebrochen|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
49|3|oval|fingernagelabdruck|1|tief|sehr groß|Reihe Einzelstiche parallel|Reihe|Reihe|1|1|1|waagerechte einzelstichreihe||H1|Halsband|0|0|hals|hals|9|100|gleichmäßiger Abstand|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
57, 61|4|rund-eckig|doppelstich, parallel|2|tief|mittel|Reihe einzelner Doppelstiche|Reihe|Reihe|Min 1|1|1|waagerechtes band|90 Grad winkel|||1|0|unklar||4w|102b|NA|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
57|4|rund-eckig|doppelstich, versetzt|2|tief|mittel|Reihe versetzter Doppelstiche|parallele Reihen|Bündel paralleler Reihen|min 2xmin2|2|2|senkrechtes band|||senkrechtes Band|1|90|unklar||17|132|geht ab von waagerechte|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
58|4|rund-eckig|doppelstich, versetzt|2|mittel|mittel|Reihe versetzter Doppelstiche|parallele Reihen|Bündel paralleler Reihen|min 2x(min 1 u. 2)|2|2|gestapelte Winkel|30 Grad Winkel||mehrfaches Winkelband|1||unklar||18b|NA|Ort und Ausrichtung unsicher|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
57|4|rund-eckig|doppelstich, versetzt|2|tief|mittel|Reihe versetzter Doppelstiche|parallele Reihen|Bündel paralleler Reihen|min 2x min 2|2|2|senkrechtes band|90 Grad winkel||senkrechtes Band|1|90|unklar||23|102b||SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
58|4|rund-eckig|doppelstich, versetzt|2|mittel|mittel|Reihe versetzter Doppelstiche|Reihe|Reihe|Min 1|1|1||30 Grad Winkel|||1|90|unklar||18b|102b|Ort und Ausrichtung unsicher|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
59|4|rund-eckig|doppelstich, parallel|2|mittel|klein|Reihe einzelner Doppelstiche|parallele reihen|parallele reihen|2|2|1|Winkel|60 Grad Winkel||einfaches schmales Winkelband|0||unklar||19|NA|Ort und Ausrichtung unsicher|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
59|4|rund-eckig|doppelstich, parallel|2|mittel|klein|Reihe einzelner Doppelstiche|parallele reihen|parallele reihen|2|2|1||60 Grad Winkel|||0||unklar||19|NA|Ort und Ausrichtung unsicher|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
60|4|rund-eckig|doppelstich, versetzt|2|flach|mittel|Reihe versetzter Doppelstiche|parallele Reihen|Bündel paralleler Reihen|min 2x (min 1 u. 2)|2|2|||||1||unklar||20|NA|wirkt zugehörig zu 58, unregelmäßig, leere Fläche und noch 1-2 weitere Stiche |SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
61|4|rund-eckig|doppelstich, versetzt|2|tief|mittel|Reihe versetzter Doppelstiche|Parallele Reihen|Parallele Reihen|Min 2|2|1|senkrechtes band|||senkrechtes Band|1|90|unklar||17|NA|unregelmäßig, geht ab vom waagerechten band|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
58|4|rund-eckig|doppelstich, versetzt|2|mittel|mittel|Reihe versetzter Doppelstiche|Reihe|Reihe|2|2|1|||||1|120|unklar||18b|102b|Ort und Ausrichtung unsicher|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
63|5|länglich-oval|doppelstich, versetzt|2|flach|mittel|Reihe versetzter Doppelstiche|Parallele Reihen|Parallele Reihen|Min 5||1|flächige füllung||H1-6|Halsband|1|0|hals|hals|22|NA|unklar, ob auf der Schulter weiter, gleichmäßiger Abstand|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
68 und 327, 366|11|halbmond|fingernagelabdruck|1|tief|groß|Reihe Einzelstiche parallel|Reihe|Reihe|1|1|1|1 reihe randstiche|senkrecht zum Randdurchmesser|||0|0|innen seitlich auf dem rand|innen seitlich auf dem rand|NA|NA|nach innen orientiert|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
68 und 327, 366|11|oval|doppelstich, versetzt|2|flach|mittel|Reihe versetzter Doppelstiche|parallele Reihen|parallele Reihen|4|4|1|Winkel|hängend||breites Winkelband auf Gefäßkörper|0|60|hals bis bauch|hals, schulter, bauch|51|12|NA|SBK|spät|Seelow 20|Märkisch-Oderland|Seelow|Deutschland
